animal_type,conservation_status,estimated_population,habitat,lifespan,health_recommendation_injured,health_recommendation_malnourished,character_traits
Matschie's Tree Kangaroo,Endangered,"2,500 - 5,000",Tropical Montane Forests,14-20 years,"Isolate from predators, provide soft bedding, consult wildlife veterinarian for wound care","Increase protein intake with leafy greens, fruits, and specialized marsupial formula","Curious, Agile, Solitary, Nocturnal"
Cotton-headed Tamarin,Critically Endangered,"6,000 - 10,000",Tropical Rainforests,13-15 years,"Clean wounds with antiseptic, monitor for infection, provide quiet recovery space","Supplement diet with insects, fruits, and vitamin-enriched nectar","Social, Playful, Vocal, Diurnal"
Visayan Warty Pig,Critically Endangered,"200 - 300",Tropical Forests,10-15 years,"Apply topical antibiotics to wounds, provide clean shelter, monitor mobility","Increase protein with legumes and root vegetables, provide mineral supplements","Social, Intelligent, Foraging, Diurnal"
Calamian Deer,Vulnerable,"900 - 1,500",Grasslands and Forests,12-15 years,"Immobilize if leg injury, provide soft ground cover, veterinary care for fractures","Supplement with mineral blocks, fresh foliage, and high-quality hay","Timid, Grazing, Social, Crepuscular"
Philippine Mouse-deer,Endangered,"Unknown (declining)",Forests and Shrublands,12-14 years,"Small enclosure to prevent running, soft substrate, antibiotic treatment","Offer fresh leaves, fruits, and specialized deer pellets","Shy, Nocturnal, Solitary, Alert"
Giant Golden-crowned Flying Fox,Endangered,"10,000 - 20,000",Tropical Forests,15-25 years,"Wing injuries require specialized care, keep in dark quiet space","Provide variety of native fruits, nectar supplements, ensure hydration","Social, Nocturnal, Flying, Fruit-eating"
Malayan Sun Bear,Vulnerable,"Unknown (decreasing)",Tropical Forests,20-25 years,"Large wounds need veterinary stitching, prevent climbing during recovery","High-protein diet with insects, fruits, and bear-specific formula","Solitary, Curious, Climbing, Nocturnal"
Mindanao Squirrel,Least Concern,"Unknown (stable)",Forests and Plantations,6-8 years,"Small animal veterinary care, clean cage to prevent infection","Offer nuts, seeds, fruits, and calcium supplements","Energetic, Foraging, Agile, Diurnal"
Rusty-spotted Genet,Least Concern,"Unknown (stable)",Forests and Woodlands,13-15 years,"Carnivore-appropriate antibiotics, monitor eating habits","Increase live prey or high-quality meat, vitamin supplements","Nocturnal, Solitary, Climbing, Carnivorous"
Oriental Small-clawed Otter,Vulnerable,"Unknown (decreasing)",Freshwater Wetlands,11-16 years,"Keep wounds dry, aquatic environment management, antibiotic treatment","Offer fish, crustaceans, and otter-specific nutritional supplements","Social, Playful, Aquatic, Diurnal"
Philippine Cockatoo,Critically Endangered,"1,000 - 4,000",Forests and Mangroves,40-60 years,"Wing injuries require avian specialist, prevent flying during recovery","Calcium-rich diet with nuts, fruits, and specialized parrot formula","Intelligent, Vocal, Social, Long-lived"
Victoria Crown Pigeon,Near Threatened,"Unknown (decreasing)",Lowland Forests,15-25 years,"Ground-dwelling care, protect from predators during recovery","Varied diet of fruits, seeds, and protein supplements","Gentle, Ground-foraging, Social, Shy"
Blue-backed Parrot,Least Concern,"Unknown (stable)",Forests and Plantations,15-20 years,"Avian veterinary care for wing injuries, comfortable perching","Balanced seed mix with fruits, vegetables, and mineral blocks","Social, Intelligent, Vocal, Active"
Southern Cassowary,Endangered,"1,500 - 2,500",Tropical Rainforests,40-50 years,"Dangerous to handle - require specialized facilities, leg injuries critical","Fruit-based diet with protein supplements, monitor weight regularly","Solitary, Territorial, Shy, Powerful"
Philippine Falconet,Least Concern,"Unknown (stable)",Forest Edges,6-8 years,"Raptor specialist required, wing injuries critical for hunters","Live prey feeding, ensure proper hunting ability recovery","Alert, Hunting, Territorial, Diurnal"
Philippine Eagle,Critically Endangered,"180 - 500",Tropical Rainforests,30-60 years,"National treasure - specialized facility only, wing injuries devastating","Whole prey diet (monkeys, birds), monitor flight capability","Majestic, Apex Predator, Territorial, Monogamous"
Pink-bellied Imperial Pigeon,Least Concern,"Unknown (stable)",Forests and Woodlands,8-12 years,"Standard avian care, protect from predators during ground recovery","Fruit-based diet with seed supplements, ensure variety","Gentle, Fruit-eating, Social, Arboreal"
Philippine Duck,Least Concern,"Unknown (stable)",Wetlands and Marshes,5-8 years,"Keep swimming area clean, waterproof bandaging for wounds","Aquatic plants, grains, and duck-specific feed","Social, Aquatic, Migratory, Foraging"
Emu,Vulnerable,"Unknown (stable)",Grasslands and Savannas,10-20 years,"Large bird handling expertise required, leg injuries serious","Balanced ratite feed, greens, and protein supplements","Curious, Fast-running, Social, Diurnal"
Visayan Hornbill,Endangered,"1,200 - 2,000",Tropical Forests,15-25 years,"Beak injuries critical - specialized avian care required","Fruit-rich diet with insects, monitor beak function","Social, Vocal, Fruit-eating, Monogamous"
Palawan Peacock-Pheasant,Vulnerable,"2,500 - 10,000",Forests,15-20 years,"Ground-dwelling care, protect from predators, feather damage management","Insect-protein diet with fruits and grains","Shy, Ground-foraging, Solitary, Camouflaged"
Luzon Bleeding-Heart Pigeon,Vulnerable,"Unknown (decreasing)",Forests,10-15 years,"Quiet environment essential, standard avian wound care","Fruit and seed mix, ensure peaceful feeding environment","Timid, Ground-feeding, Solitary, Secretive"
Negros Bleeding-heart Pigeon,Critically Endangered,"50 - 250",Lowland Tropical Forests,10-15 years,"Minimal handling, stress reduction is critical; soft padded enclosure; avian vet for any visible injury","High-quality dove mix, native fruits, and seeds; ensure feeding area is secluded and quiet","Extremely Secretive, Terrestrial, Solitary, Highly Sensitive"
Palawan Tree Shrew,Vulnerable,"Unknown (stable)",Forests and Shrublands,5-7 years,"Small mammal veterinary care, clean enclosure, monitor for infection","Offer insects, fruits, and high-protein diet, ensure hydration","Active, Foraging, Diurnal, Territorial"
Red-vented Cockatoo,Critically Endangered,"1,000 - 4,000",Forests and Mangroves,40-60 years,"Wing injuries require avian specialist, prevent flying during recovery","Calcium-rich diet with nuts, fruits, and specialized parrot formula","Intelligent, Social, Vocal, Long-lived"
Gray's Monitor Lizard,Least Concern,"Unknown (stable)",Tropical Forests and Agricultural Areas,15-20 years,"Clean wounds with reptile-safe antiseptic, provide warm dry enclosure, consult reptile veterinarian","Supplement with calcium-dusted insects and small vertebrates, ensure proper UVB lighting","Arboreal, Diurnal, Solitary, Alert"
Philippine Eagle Owl,Vulnerable,"Unknown (stable)",Forests,20-30 years,"Raptor care for wing injuries, provide dark quiet recovery zone, restrict movement during healing","Increase prey intake with rodents, small birds, and vitamin-enriched supplements","Nocturnal, Territorial, Powerful, Stealthy"
